,full_name,engine_capacity,resale_price,registered_year,insurance,transmission_type,kms_driven,owner_type,fuel_type,brand
166,i20 Petrol,1197.0,550000.0,2019,Third,Manual,40000.0,Second,Petrol,Hyundai
167,A-Star Vxi,998.0,140000.0,2009,Third,Manual,60000.0,First,Petrol,Maruti
168,Wagon R,998.0,400000.0,2017,Third,Manual,20000.0,First,CNG,Maruti
169,Verna CRDi,1582.0,900000.0,2018,Third,Manual,90000.0,First,Diesel,Hyundai
170,City 1.5,1497.0,315000.0,2010,Third,Manual,80000.0,First,Petrol,Honda
171,Ecosport 1.5,1498.0,350000.0,2013,Third,Manual,120000.0,First,Diesel,Ford
172,EON D,814.0,140000.0,2013,Third,Manual,100000.0,Second,Petrol,Hyundai
173,Baleno Delta,1197.0,700000.0,2021,Third,Manual,30000.0,First,Petrol,Maruti
174,Urban cruiser,1462.0,880000.0,2020,Third,Automatic,50000.0,First,Petrol,Toyota
175,3 Series,1995.0,1000000.0,2010,Third,Automatic,100000.0,Second,Diesel,BMW
176,Swift VXI,1197.0,215000.0,2010,Third,Manual,120000.0,First,Petrol,Maruti
177,Duster 110PS,1461.0,500000.0,2013,Third,Manual,150000.0,First,Diesel,Renault
178,Tavera 2,2499.0,240000.0,2012,Third,Manual,150000.0,Second,Diesel,Chevrolet
179,Zest Quadrajet,1248.0,320000.0,2016,Third,Manual,90000.0,Third,Diesel,Tata
180,Wagon R,998.0,200000.0,2012,Third,Manual,150000.0,Third,Petrol,Maruti
181,Wagon R,998.0,400000.0,2017,Third,Manual,30000.0,First,Petrol,Maruti
182,Ritz VDi,1248.0,125000.0,2010,Third,Manual,100000.0,Second,Diesel,Maruti
183,i20 1.2,1197.0,500000.0,2018,Third,Manual,50000.0,First,Petrol,Hyundai
184,Tiago 1.05,1047.0,380000.0,2017,Third,Manual,70000.0,First,Diesel,Tata
185,Beat Diesel,936.0,150000.0,2011,Third,Manual,80000.0,First,Diesel,Chevrolet
186,Grand i10,1186.0,510000.0,2017,Third,Manual,60000.0,First,Diesel,Hyundai
187,Scorpio VLX,2179.0,300000.0,2011,Third,Manual,150000.0,Second,Diesel,Mahindra
188,Wagon R,998.0,250000.0,2015,Third,Manual,50000.0,Third,Petrol,Maruti
189,Swift Dzire,1248.0,400000.0,2015,Third,Manual,120000.0,Third,Diesel,Maruti
190,Verna 1.6,1582.0,370000.0,2012,Third,Manual,90000.0,Second,Diesel,Hyundai
192,Q3 30,1395.0,2480000.0,2018,First,Automatic,45000.0,Second,Petrol,Audi
193,6 Series,1998.0,4690000.0,2018,Third,Automatic,38000.0,First,Petrol,BMW
194,A6 35,1798.0,2190000.0,2015,First,Automatic,49000.0,Second,Petrol,Audi
195,A4 35,1968.0,2290000.0,2017,Zerodep,Automatic,46000.0,Second,Diesel,Audi
196,Q3 35,1968.0,1390000.0,2014,First,Automatic,29000.0,First,Diesel,Audi
197,A4 30,1395.0,2790000.0,2016,First,Automatic,27000.0,First,Petrol,Audi
198,E-Class E250,2143.0,1190000.0,2014,First,Automatic,120000.0,Second,Diesel,Mercedes-Benz
199,Q7 35,2967.0,3690000.0,2015,First,Automatic,70000.0,First,Diesel,Audi
200,C-Class C,1796.0,1190000.0,2012,First,Automatic,72100.0,First,Petrol,Mercedes-Benz
202,A3 35,1395.0,2490000.0,2018,First,Automatic,46300.0,First,Petrol,Audi
203,Q8 55,2995.0,8900000.0,2020,Third,Automatic,18000.0,,Petrol,Audi
204,Q3 35,1968.0,2090000.0,2018,First,Automatic,38000.0,Second,Diesel,Audi
205,A3 35,1395.0,2680000.0,2019,First,Automatic,26300.0,First,Petrol,Audi
206,RS5 Sportback,2894.0,9490000.0,2021,Third,Automatic,5600.0,First,Petrol,Audi
207,RS5 Sportback,2894.0,9490000.0,2021,First,Automatic,7000.0,First,Petrol,Audi
208,Q5 40,1968.0,3780000.0,2019,Third,Automatic,48500.0,First,Diesel,Audi
209,A6 35,1968.0,2980000.0,2018,Zerodep,Automatic,38000.0,First,Diesel,Audi
210,A4 1.8,1798.0,1490000.0,2013,First,Automatic,43800.0,First,Petrol,Audi
211,A6 45,1984.0,6490000.0,2022,Zerodep,Automatic,2300.0,First,Petrol,Audi
212,A6 45,1984.0,5190000.0,2021,Zerodep,Automatic,24800.0,First,Petrol,Audi
213,A6 45,1984.0,4790000.0,2020,Zerodep,Automatic,36700.0,First,Petrol,Audi
214,A6 35,1798.0,2090000.0,2015,First,Automatic,79000.0,Second,Petrol,Audi
215,A3 35,1968.0,1990000.0,2017,Zerodep,Automatic,55400.0,First,Diesel,Audi
216,A3 35,1395.0,2780000.0,2019,Zerodep,Automatic,23700.0,First,Petrol,Audi
217,A3 35,1395.0,2690000.0,2019,Zerodep,Automatic,15600.0,First,Petrol,Audi
218,A4 35,1395.0,3290000.0,2020,Zerodep,Automatic,29900.0,First,Petrol,Audi
219,A3 35,1968.0,2290000.0,2018,Zerodep,Automatic,43500.0,First,Diesel,Audi
220,A3 35,1395.0,2690000.0,2019,Zerodep,Automatic,44000.0,First,Petrol,Audi
221,A6 35,1968.0,1890000.0,2015,First,Automatic,85000.0,First,Diesel,Audi
222,i20 1.4,1396.0,550000.0,2017,Third,Manual,100000.0,First,Diesel,Hyundai
223,Swift AMT,1197.0,785000.0,2020,Third,Automatic,30000.0,First,Petrol,Maruti
224,Swift Dzire,1197.0,408000.0,2015,First,Manual,76469.0,First,Petrol,Maruti
225,Amaze SX,1198.0,330000.0,2014,Third,Manual,118976.0,First,Petrol,Honda
226,XUV500 W9,2179.0,952000.0,2018,First,Manual,57689.0,Second,Diesel,Mahindra
227,Alto K10,998.0,357000.0,2019,Third,Manual,27817.0,Second,Petrol,Maruti
228,Celerio ZXI,998.0,366000.0,2016,Third,Automatic,62001.0,Third,Petrol,Maruti
229,Vitara Brezza,1248.0,628000.0,2018,Third,Manual,73081.0,First,Diesel,Maruti
230,Magnite Turbo,999.0,713000.0,2021,Zerodep,Manual,26387.0,First,Petrol,Nissan
231,Beat Diesel,936.0,155000.0,2013,Third,Manual,80000.0,Second,Diesel,Chevrolet
232,Swift Dzire,1298.0,190000.0,2008,Third,Manual,70000.0,First,Petrol,Maruti
233,Beat LT,1199.0,60000.0,2011,Third,Manual,50000.0,Second,Petrol,Chevrolet
234,Ertiga SHVS,1248.0,640000.0,2016,Third,Manual,100000.0,Second,Diesel,Maruti
235,i10 Magna,1197.0,250000.0,2012,Third,Manual,70000.0,Second,Petrol,Hyundai
236,Swift Dzire,1197.0,390000.0,2015,Third,Manual,120000.0,Third,Petrol,Maruti
237,i20 Sportz,1396.0,550000.0,2015,Third,Manual,90000.0,Second,Diesel,Hyundai
238,Tigor XZ,1199.0,728000.0,2022,Zerodep,Manual,49551.0,First,CNG,Tata
239,Baleno 1.2,1197.0,432000.0,2016,Third,Manual,91117.0,First,Petrol,Maruti
240,GLE 450,2999.0,9175000.0,2020,Third,Automatic,50852.0,First,Petrol,Mercedes-Benz
241,Baleno 1.2,1197.0,506000.0,2017,Third,Manual,69056.0,First,Petrol,Maruti
242,Baleno Delta,1197.0,634000.0,2019,Third,Manual,37503.0,First,Petrol,Maruti
243,Wagon R,998.0,336000.0,2016,First,Manual,47202.0,First,Petrol,Maruti
244,WR-V i-VTEC,1199.0,542000.0,2017,Third,Manual,37746.0,First,Petrol,Honda
245,Ecosport 1.5,1498.0,654000.0,2018,Third,Manual,57535.0,Second,Diesel,Ford
246,i20 1.2,1197.0,556000.0,2018,Third,Manual,47909.0,First,Petrol,Hyundai
247,Alto 800,796.0,200000.0,2014,Third,Manual,50000.0,First,CNG,Maruti
248,Kiger RXT,999.0,585000.0,2022,Third,Automatic,10000.0,First,Petrol,Renault
249,Swift Dzire,1248.0,380000.0,2014,Third,Manual,90000.0,Second,Diesel,Maruti
250,Ecosport 1.5,1498.0,600000.0,2016,Third,Manual,70000.0,First,Diesel,Ford
251,CLA 200,2143.0,1600000.0,2015,Third,Automatic,120000.0,First,Diesel,Mercedes-Benz
252,Wagon R,998.0,480000.0,2020,Third,Manual,50000.0,First,Petrol,Maruti
253,Swift VDI,1248.0,350000.0,2015,Zerodep,Manual,69981.0,First,Diesel,Maruti
254,Baleno 1.2,1197.0,541000.0,2018,Zerodep,Manual,18185.0,First,Petrol,Maruti
255,Swift Dzire,1197.0,641000.0,2018,First,Manual,97254.0,Second,Petrol,Maruti
256,Wagon R,998.0,508000.0,2019,Third,Manual,19910.0,First,Petrol,Maruti
257,Amaze S,1498.0,775000.0,2021,Third,Manual,40680.0,First,Diesel,Honda
258,GLC 220d,1950.0,5575000.0,2020,Third,Automatic,21542.0,First,Diesel,Mercedes-Benz
259,EON Era,814.0,292000.0,2018,Third,Manual,66198.0,First,Petrol,Hyundai
260,Celerio X,998.0,480000.0,2018,Third,Automatic,97829.0,First,Petrol,Maruti
261,Amaze VX,1498.0,485000.0,2015,Third,Manual,80000.0,Second,Diesel,Honda
262,City VTEC,1497.0,110000.0,2006,Third,Manual,100000.0,Second,Petrol,Honda
263,i20 Sportz,1197.0,650000.0,2020,Third,Manual,50000.0,First,Petrol,Hyundai
264,City i,1498.0,675000.0,2017,Third,Manual,90000.0,Second,Diesel,Honda
265,XUV700 AX5,2198.0,1800000.0,2022,Third,Manual,10000.0,First,Diesel,Mahindra
266,Civic 1.8,1799.0,255000.0,2010,Third,Manual,100000.0,Third,Petrol,Honda
267,Amaze V,1199.0,653000.0,2018,Zerodep,Manual,39240.0,First,Petrol,Honda
268,Vitara Brezza,1462.0,785000.0,2021,Zerodep,Manual,4055.0,First,Petrol,Maruti
269,Alto 800,796.0,291000.0,2018,First,Manual,62433.0,First,Petrol,Maruti
270,Swift VDI,1248.0,428000.0,2016,Third,Manual,46929.0,First,Diesel,Maruti
271,Creta 1.6,1591.0,994000.0,2017,Third,Manual,47000.0,First,Petrol,Hyundai
272,EON Era,814.0,224000.0,2014,Third,Manual,52703.0,First,Petrol,Hyundai
274,Swift VDI,1248.0,312000.0,2013,Third,Manual,117206.0,First,Diesel,Maruti
275,Rapid 1.5,1498.0,814000.0,2017,Third,Automatic,30296.0,First,Diesel,Skoda
276,EON Era,814.0,297000.0,2017,Third,Manual,15614.0,First,Petrol,Hyundai
277,Alto 800,796.0,270000.0,2017,Third,Manual,100000.0,First,CNG,Maruti
278,Creta 1.6,1582.0,1130000.0,2020,Third,Manual,40000.0,First,Diesel,Hyundai
279,Nano LX,624.0,70000.0,2013,Third,Manual,60000.0,Second,Petrol,Tata
280,Rapid 1.6,1598.0,250000.0,2012,Third,Manual,110000.0,Second,Diesel,Skoda
281,Tavera B2-7,2499.0,125000.0,2006,Third,Manual,120000.0,Second,Diesel,Chevrolet
282,Alto K10,998.0,280000.0,2018,Third,Manual,50000.0,Second,Petrol,Maruti
283,Swift VDI,1248.0,315000.0,2013,Third,Manual,74208.0,First,Diesel,Maruti
284,XUV500 W11,2179.0,1273000.0,2018,Third,Automatic,85663.0,First,Diesel,Mahindra
285,Ignis 1.2,1197.0,508000.0,2017,First,Automatic,29406.0,First,Petrol,Maruti
286,Celerio ZXI,998.0,382000.0,2016,Third,Automatic,72029.0,Second,Petrol,Maruti
287,Vitara Brezza,1248.0,708000.0,2017,Zerodep,Manual,89341.0,First,Diesel,Maruti
288,Aura SX,1197.0,782000.0,2020,Zerodep,Automatic,25799.0,First,Petrol,Hyundai
289,i20 Active,1197.0,595000.0,2018,Third,Manual,47641.0,Third,Petrol,Hyundai
290,Swift VXI,1197.0,520000.0,2019,Third,Manual,40584.0,First,Petrol,Maruti
291,Alto K10,998.0,307000.0,2017,Third,Manual,39259.0,First,Petrol,Maruti
292,Innova 2.5,2494.0,423000.0,2012,Third,Manual,120000.0,Fourth,Diesel,Toyota
293,Innova 2.5,2494.0,455000.0,2012,Third,Manual,120000.0,Fourth,Diesel,Toyota
294,Creta 1.6,1582.0,1050000.0,2018,Third,Manual,100000.0,First,Diesel,Hyundai
